rule_id	paper_id	paper_title	file_path	line_number	matched_text
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	33	"<uses-permission android:name=""android.permission.CHANGE_WIFI_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	34	"<uses-permission android:name=""android.permission.CAMERA""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	37	"<uses-permission android:name=""android.permission.READ_PHONE_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	38	"<uses-permission android:name=""android.permission.SYSTEM_ALERT_WINDOW""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	39	"<uses-permission android:name=""android.permission.READ_CALENDAR""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	40	"<uses-permission android:name=""android.permission.WRITE_CALENDAR""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	41	"<uses-permission android:name=""android.permission.VIBRATE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	69	"<uses-permission android:name=""com.yuwell.uhealth.permission.MIPUSH_RECEIVE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	70	"<uses-permission android:name=""android.permission.CALL_PHONE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	71	"<uses-permission android:name=""android.permission.RECORD_AUDIO""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	72	"<uses-permission android:name=""android.permission.FLAG_GRANT_READ_URI_PERMISSION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	22	"<uses-permission android:name=""android.permission.ACCESS_COARSE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	23	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	24	"<uses-permission android:name=""android.permission.BLUETOOTH_CONNECT""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	13	<uses-permission
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	16	<uses-permission
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	23	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	24	"<uses-permission android:name=""android.permission.BLUETOOTH_CONNECT""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	25	"<uses-permission android:name=""android.permission.BLUETOOTH_SCAN""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	26	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	25	"<uses-permission android:name=""android.permission.BLUETOOTH_SCAN""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	26	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	27	"<uses-permission android:name=""android.permission.READ_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	28	"<uses-permission android:name=""android.permission.INTERNET""/>"
BR007	B025	Why Eve and Mallory Still Love Android: Revisiting TLS (In)Security in Android Applications	resources/AndroidManifest.xml	82	"android:networkSecurityConfig=""@xml/network_security_config"""
BR007	B025	Why Eve and Mallory Still Love Android: Revisiting TLS (In)Security in Android Applications	resources/res/xml/network_security_config.xml	3	"<base-config cleartextTrafficPermitted=""true""/>"
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/cn/jiguang/aa/a.java	6	import javax.net.ssl.X509TrustManager;
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/cn/jiguang/aa/a.java	16	private X509TrustManager m;
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/cn/jiguang/aa/a.java	70	public X509TrustManager i() {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/cn/jiguang/ay/c.java	14	import javax.net.ssl.X509TrustManager;
