rule_id	paper_id	paper_title	file_path	line_number	matched_text
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	12	"<uses-permission android:name=""android.permission.ACCESS_NETWORK_STATE""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	13	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	14	"<uses-permission android:name=""android.permission.BLUETOOTH_ADMIN""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	25	"<uses-permission android:name=""com.android.vending.BILLING""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	26	"<uses-permission android:name=""android.permission.ACCESS_COARSE_LOCATION""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	13	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	14	"<uses-permission android:name=""android.permission.BLUETOOTH_ADMIN""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	15	"<uses-permission android:name=""android.permission.BLUETOOTH""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	16	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	15	"<uses-permission android:name=""android.permission.BLUETOOTH""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	16	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	17	"<uses-permission android:name=""android.permission.GET_ACCOUNTS""/>"
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/defpackage/bqj.java	5	import javax.net.ssl.X509TrustManager;
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/defpackage/bqj.java	8	class bqj implements X509TrustManager {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/defpackage/bqj.java	15	@Override // javax.net.ssl.X509TrustManager
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/defpackage/bqj.java	16	public void checkClientTrusted(X509Certificate[] x509CertificateArr, String str) {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/defpackage/bqj.java	19	@Override // javax.net.ssl.X509TrustManager
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/defpackage/bqj.java	20	public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/defpackage/bqj.java	28	@Override // javax.net.ssl.X509TrustManager
BR010	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/defpackage/bqh.java	38	bqiVar.setHostnameVerifier(SSLSocketFactory.ALLOW_ALL_HOSTNAME_VERIFIER);
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/drawable/abc_text_cursor_material.xml	2	"<shape xmlns:android=""http://schemas.android.com/apk/res/android"" android:shape=""rectangle"">"
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/drawable/activity_main_plus_sign.xml	2	"<selector xmlns:android=""http://schemas.android.com/apk/res/android"">"
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/drawable/heartrate_searching.xml	2	"<animation-list xmlns:android=""http://schemas.android.com/apk/res/android"" android:oneshot=""false"">"
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/drawable/map_lap_mark.xml	2	"<shape xmlns:android=""http://schemas.android.com/apk/res/android"" android:shape=""oval"">"
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/drawable/map_session_end_point.xml	2	"<shape xmlns:android=""http://schemas.android.com/apk/res/android"" android:shape=""oval"">"
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/drawable/map_session_start_point.xml	2	"<shape xmlns:android=""http://schemas.android.com/apk/res/android"" android:shape=""oval"">"
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/drawable/map_sport_end_point.xml	2	"<shape xmlns:android=""http://schemas.android.com/apk/res/android"" android:shape=""oval"">"
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/drawable/map_sport_start_point.xml	2	"<shape xmlns:android=""http://schemas.android.com/apk/res/android"" android:shape=""oval"">"
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/layout/abc_action_bar_title_item.xml	2	"<LinearLayout xmlns:android=""http://schemas.android.com/apk/res/android"""
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/layout/abc_action_bar_up_container.xml	2	"<LinearLayout xmlns:android=""http://schemas.android.com/apk/res/android"""
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/layout/abc_action_bar_view_list_nav_layout.xml	2	"<LinearLayout xmlns:android=""http://schemas.android.com/apk/res/android"""
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/layout/abc_action_menu_layout.xml	2	"<android.support.v7.widget.ActionMenuView xmlns:android=""http://schemas.android.com/apk/res/android"" xmlns:app=""http://schemas.android.com/apk/res-auto"""
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/layout/abc_action_mode_bar.xml	2	"<android.support.v7.widget.ActionBarContextView xmlns:android=""http://schemas.android.com/apk/res/android"""
BR013	B010	Client-Focused Security Assessment of mHealth Apps and Recommended Practices to Prevent or Mitigate Transport Security Issues	resources/res/layout/abc_action_mode_close_item_material.xml	2	"<ImageView xmlns:android=""http://schemas.android.com/apk/res/android"""
